"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Prioritization of Test Cases Using Software Agents and Fuzzy Logic","C. Malz; N. Jazdi; P. Gohner","NA; NA; NA","2012 IEEE Fifth International Conference on Software Testing, Verification and Validation","","2012","","","483","486","Limited test time and restricted number of test resources confront test managers with big challenges, especially in the system test. Consequently, the test manager has to prioritize test cases before each test cycle. There is much information available for determining a reasonable prioritization order in software projects. However, due to the complexity of current software systems and the high number of existing test cases, the abundance of information relevant for prioritization is not manageable for the test manager, even with high effort. In this paper we present a concept for an automated prioritization of test cases using software agents and fuzzy logic. Our prioritization system determines the prioritization order which increases the test effectiveness and the fault detection rate.","2159-4848","978-0-7695-4670-4978-1-4577-1906","10.1109/ICST.2012.131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200143","test case prioritization;software agent;fuzzy logic","Software agents;Fault detection;Estimation;Fuzzy logic;Testing;Software systems","fuzzy logic;program testing;software agents;software fault tolerance","test case;software agent;fuzzy logic;test resource;system test;test manager;test cycle;prioritization order;software project;software system complexity;automated prioritization;prioritization system;test effectiveness;fault detection rate","","12","12","","","","","","IEEE","IEEE Conferences"
"Dynamic Prioritization in Regression Testing","N. Kaushik; M. Salehie; L. Tahvildari; S. Li; M. Moore","NA; NA; NA; NA; NA","2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops","","2011","","","135","138","Although used extensively in industry, regression testing is challenging from both a process management as well as a resource management perspective. In literature, proposed test case prioritization techniques assume a constant pool of test cases with non-changing coverage during the regression testing process, and therefore they work with a fixed, prioritized test suite. However, in practice, test cases and their coverage metrics may change during regression testing due to modifications of software artefacts (e.g. due to bug fixing). For example, modifying obsolete test cases or source code may change the coverage metrics during the process. This may lead to some changes in test case priorities. Dealing with manual tests cases, scheduling test case execution in shared environments and other constraints in practice may cause the same effect. In this paper, we highlight these challenges in industrial regression testing and propose a paradigm called Dynamic Prioritization, which uses in-process events and the most up-to-date test suite to re-order test cases.","","978-0-7695-4345-1978-1-4577-0019","10.1109/ICSTW.2011.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954402","regression testing;test case prioritization;software testing","Testing;Measurement;Couplings;Software;Complexity theory;Manuals;Minimization","program testing","regression testing;test case prioritization technique;test case coverage metrics;dynamic prioritization paradigm","","3","14","","","","","","IEEE","IEEE Conferences"
"Test case prioritization for regression testing based on fault dependency","M. I. Kayes","Quality Assurance Engineer, SoftwarePeople, Dhaka, Bangladesh","2011 3rd International Conference on Electronics Computer Technology","","2011","5","","48","52","Test case prioritization techniques involve scheduling test cases for regression testing in an order that increases their effectiveness at meeting some performance goal. This is inefficient to re execute all the test cases in regression testing following the software modifications. Using information obtained from previous test case execution, prioritization techniques order the test cases for regression testing so that most beneficial are executed first thus allows an improved effectiveness of testing. One performance goal, rate of dependency detected among faults, measures how quickly dependency among faults are detected within the regression testing process. An improved rate of fault dependency can provide faster feedback on software and let developers start debugging on the severe faults that cause other faults to appear later. This paper presents the new metric for assessing rate of fault dependency detection and an algorithm to prioritize test cases. Using the new metric the effectiveness of this prioritization is shown comparing it with non-prioritized test case. Analysis proves that prioritized test cases are more effective in detecting dependency among faults.","","978-1-4244-8679-3978-1-4244-8678","10.1109/ICECTECH.2011.5941954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5941954","Software Engineering;Software Testing;Test Case Prioritization;Regression Testing;Average Percentage of Fault Dependency Detected (APFDD)","Measurement;Software;Software testing;Fault detection;Software algorithms;Debugging","computer aided software engineering;program testing;regression analysis;scheduling","test case prioritization;scheduling test;test case execution;prioritization techniques;regression testing process;fault dependency detection","","7","10","","","","","","IEEE","IEEE Conferences"
"Agent-Based Test Case Prioritization","C. Malz; P. Göhner","NA; NA","2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops","","2011","","","149","152","In this paper an Adaptive Test Management System (ATMS) based on software agents is presented which prioritizes test cases considering available information from test teams and from developments teams about the software system and the test cases. The goal of the ATMS is to increase the number of found faults in the available test time with the determined prioritization order.","","978-0-7695-4345-1978-1-4577-0019","10.1109/ICSTW.2011.81","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954404","test case prioritization;software agents;fuzzy logic","Asynchronous transfer mode;Software agents;Databases;Software systems;Computer architecture;Fuzzy logic","program testing;software agents","agent-based test case prioritization;adaptive test management system;software agents","","6","5","","","","","","IEEE","IEEE Conferences"
"A source-based risk analysis approach for software test optimization","A. Hosseingholizadeh","Department of Computer Science, Ryerson University, Toronto, Canada","2010 2nd International Conference on Computer Engineering and Technology","","2010","2","","V2-601","V2-604","In this paper we introduce our proposed technique for software component test prioritization and optimization which is based on a source-code based risk analysis. Software test is one of the most critical steps in the software development. Considering that the time and human resources of a software project are limited, software test should be scheduled and planned very carefully. In this paper we introduce a classification approach that provides the developers with a risk model of the application which is specifically designed to assist the testing process by identifying the most important components and their corresponding test effort estimation. We designed an analyser tool to apply our technique to a test software project and we presented the results in this paper.","","978-1-4244-6349-7978-1-4244-6347-3978-1-4244-6348","10.1109/ICCET.2010.5485639","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5485639","Software Engineering;Software Risk;Software Test;Metric;Code-Analysis","Risk analysis;Software testing;Programming;Automatic testing;Risk management;Software quality;Computer science;Humans;Application software;Software tools","pattern classification;program testing;risk analysis;software reliability","source code-based risk analysis approach;software test optimization;software component test prioritization;software development;software project;classification approach","","2","12","","","","","","IEEE","IEEE Conferences"
"Prioritizing Requirements-Based Regression Test Cases: A Goal-Driven Practice","M. Salehie; S. Li; L. Tahvildari; R. Dara; S. Li; M. Moore","NA; NA; NA; NA; NA; NA","2011 15th European Conference on Software Maintenance and Reengineering","","2011","","","329","332","Any changes for maintenance or evolution purposes may break existing working features, or may violate the requirements established in the previous software releases. Regression testing is essential to avoid these problems, but it may be ended up with executing many time-consuming test cases. This paper tries to address prioritizing requirements-based regression test cases. To this end, system-level testing is focused on two practical issues in industrial environments: i) addressing multiple goals regarding quality, cost and effort in a project, and ii) using non-code metrics due to the lack of detailed code metrics in some situations. This paper reports a goal-driven practice at Research In Motion (RIM) towards prioritizing requirements-based test cases regarding these issues. Goal-Question-Metric (GQM) is adopted in identifying metrics for prioritization. Two sample goals are discussed to demonstrate the approach: detecting bugs earlier and maintaining testing effort. We use two releases of a prototype Web-based email client to conduct a set of experiments based on the two mentioned goals. Finally, we discuss lessons learned from applying the goal-driven approach and experiments, and we propose few directions for future research.","1534-5351;1534-5351","978-1-61284-259-2978-0-7695-4343","10.1109/CSMR.2011.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741354","Test case prioritization;Software regression testing;Requirements-based test cases;Goal-driven approaches","Testing;Measurement;Computer bugs;Humans;Complexity theory;Software;Electronic mail","program testing;regression analysis;software maintenance;software metrics","requirement prioritization;regression test cases;system-level testing maintenance;noncode metrics;Research In Motion;goal-question-metric;bug detection;Web-based email client","","5","7","","","","","","IEEE","IEEE Conferences"
"Requirement based test case prioritization","R. Kavitha; V. R. Kavitha; N. Suresh Kumar","Computer Science and Engineering, VCET, Madurai, India; Master of Computer Applications, VCET, Madurai, India; Electronics and Communication Engineering, VCET, Madurai, India","2010 INTERNATIONAL CONFERENCE ON COMMUNICATION CONTROL AND COMPUTING TECHNOLOGIES","","2010","","","826","829","Test case prioritization involves scheduling test cases in an order that increases the effectiveness in achieving some performance goals. One of the most important performance goals is the rate of fault detection. Test cases should run in an order that increases the possibility of fault detection and also that detects faults at the earliest in its testing life cycle. In this paper, an algorithm is proposed for system level test case prioritization (TCP) from software requirement specification to improve user satisfaction with quality software and also to improve the rate of severe fault detection. The proposed model prioritizes the system test cases based on the three factors: customer priority, changes in requirement, implementation complexity. The proposed prioritization technique is validated with two different sets of industrial projects and the results show that the proposed prioritization technique improves the rate of severe fault detection.","","978-1-4244-7770-8978-1-4244-7769-2978-1-4244-7768","10.1109/ICCCCT.2010.5670728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5670728","Test case;test case Prioritization","Fault detection;Complexity theory;Software algorithms;Software;Software testing;Algorithm design and analysis","formal specification;program testing;software fault tolerance;software quality","requirement based test case prioritization;test case scheduling;fault detection;testing life cycle;system level test case prioritization;software requirement specification;user satisfaction;industrial projects","","4","15","","","","","","IEEE","IEEE Conferences"
"A Heuristic Model-Based Test Prioritization Method for Regression Testing","X. Han; H. Zeng; H. Gao","NA; NA; NA","2012 International Symposium on Computer, Consumer and Control","","2012","","","886","889","Due to the resource and time constraints for re-executing large test suites in regression testing, developers are interested in detecting faults in the system as early as possible. Test case prioritization seeks to order test cases in such a way that early fault detection is maximized. In this paper, we present a model-based heuristic method to prioritize test cases for regression testing, which takes into account two types of information collected during execution of the modified model on the test suite. The experiment shows that our algorithm has better effectiveness of early fault detection.","","978-1-4673-0767-3978-0-7695-4655","10.1109/IS3C.2012.226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6228450","Test prioritization;regression testing;model-based test prioritization;early fault detection","Fault detection;Testing;Computational modeling;Minimization;Software maintenance;Software systems","fault diagnosis;program testing;software maintenance","heuristic model-based test prioritization method;regression testing;fault detection;large test suites;software maintenance","","1","9","","","","","","IEEE","IEEE Conferences"
"Study on Test Case Automated Generation Technology Based on Genetic Algorithm and Ant Colony Optimization Algorithm","D. Xu; Z. Li","NA; NA","2010 International Conference on Electrical and Control Engineering","","2010","","","5655","5658","The enhancement of software quality and reliability has become an important task in the field of software engineering. Software testing is an important step that guarantees software quality and reliability and also an energy-consuming and time-consuming task. Therefore, improving the automation ability of software testing is very important for ensuring software's quality and reducing development cost. This paper designs a new Net-Path-Model, introduces the Genetic Algorithm and Ant Colony Optimization test cases Generating theory with the Model. The paper also realizes the theory for Path-cover Test Cases Generating based on ProGrammar in VC++6.0.","","978-1-4244-6881-2978-1-4244-6880-5978-0-7695-4031","10.1109/iCECE.2010.1374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5631585","Software Testing;Test case;Path-Cover;Genetic Algorithm;Ant Colony Optimization Algorithm","Ant colony optimization;Software quality;Gallium;Software reliability;Nickel;Software testing","C++ language;genetic algorithms;program testing;software quality;software reliability","test case automated generation technology;genetic algorithm;ant colony optimization algorithm;software quality;software reliability;software engineering;software testing;net-path-model;path-cover test cases;ProGrammar;VC++6.0","","","","","","","","","IEEE","IEEE Conferences"
"Critical component analyzer — A novel test prioritization framework for component based real time systems","M. R. Praba; D. J. Mala","Dept. of Computer Applications, KLN College of Information Technology, Madurai, Tamilnadu, India; Dept. of Computer Applications, Thiagarajar College of Engineering, Madurai. Tamilnadu, India","2011 Malaysian Conference in Software Engineering","","2011","","","281","286","Component based software development system is composed of many components and it uses the reusable components as the building blocks for constructing the complex software system. The major challenges in CBS are testing component dependency that is; it is a tricky task to test each and every component for each possible input data which will lead to exhaustive testing. To reduce the cost, the industries are following some stopping criteria and release the product to the customer side. These stopping criteria will at times lead to skipping up of some of the components from rigorous testing. This will lead to hazardous side effects such as loss in terms of revenue, human life and resources. This insight leads to the need to identify critical components which have the higher dependability measure in terms of functionality and receives higher priority in testing with rigorous test procedures. Hence, this paper proposes a novel method for identifying the critical components from the Software under Test (SUT) and prioritizes them for testing with at most care based on various dependency metrics and measures among the components with the help of Component Execution Sequence Graph (CESG).","","978-1-4577-1531-0978-1-4577-1530-3978-1-4577-1529","10.1109/MySEC.2011.6140684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140684","Software Testing;Test prioritization;Component based Testing;Critical component;metrics and measures","Couplings;Software;Software testing;Software measurement;Programming","graph theory;object-oriented programming;program testing;real-time systems;software cost estimation;software metrics;software reusability","critical component analyzer;test prioritization framework;component based real time systems;component based software development system;reusable components;complex software system;testing component dependency;exhaustive testing;cost reduction;stopping criteria;hazardous side effects;rigorous test procedures;software under test;SUT;dependency metrics;component execution sequence graph;CESG","","","13","","","","","","IEEE","IEEE Conferences"
