"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Study on the cost/benefit/optimization of software safety test","Meng Li; Zhu Xu","Dept. of Comput. Sci. & Eng., Tongji Univ., Shanghai, China; Dept. of Comput. Sci. & Eng., Tongji Univ., Shanghai, China","2003 Test Symposium","","2003","","","510","","Although the safety-critical system has high demand on safety, the cost of software test therefore must be taken account of. In the test of railway computer interlocking software carried out, the safety test for a station software last several months, therefore, in order to reduce the test time, it is practical to choose functions from the function set to test through optimization. Software safety test is realized by running testing cases at the cost of labor and time. It is expected to detect dangerous function defects and reduce system loss to gain benefit. Optimization strategy is a best choice to consider testing cases.","1081-7735","0-7695-1951","10.1109/ATS.2003.1250881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1250881","","Software safety;Software testing;Linear programming;Software economics;Costs;Optimization methods","safety-critical software;program testing;linear programming;software cost estimation;cost-benefit analysis;optimisation;railway safety","software safety test;safety-critical software;software test cost;station software;test optimization;dangerous function defects;railway interlocking software;linear programming","","","","","","","","","IEEE","IEEE Conferences"
"ADTEST: a test data generation suite for Ada software systems","M. J. Gallagher; V. Lakshmi Narasimhan","Sch. of Inf. Technol., Queensland Univ., Qld., Australia; NA","IEEE Transactions on Software Engineering","","1997","23","8","473","484","Presents the design of the software system ADTEST (ADa TESTing), for generating test data for programs developed in Ada83. The key feature of this system is that the problem of test data generation is treated entirely as a numerical optimization problem and, as a consequence, this method does not suffer from the difficulties commonly found in symbolic execution systems, such as those associated with input variable-dependent loops, array references and module calls. Instead, program instrumentation is used to solve a set of path constraints without explicitly knowing their form. The system supports not only the generation of integer and real data types, but also non-numerical discrete types such as characters and enumerated types. The system has been tested on large Ada programs (60,000 lines of code) and found to reduce the effort required to test programs as well as providing an increase in test coverage.","0098-5589;1939-3520;2326-3881","","10.1109/32.624304","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=624304","","Software testing;System testing;Software systems;Software design;Instruments;Optimization methods;Character generation;Inspection;Software tools;Production","program testing;Ada;software tools;optimisation;abstract data types","ADTEST;software test data generation suite;Ada83 software systems;numerical optimization;symbolic execution systems;program instrumentation;path constraints;integer data type;real data type;nonnumerical discrete types;characters;enumerated types;test coverage","","68","15","","","","","","IEEE","IEEE Journals & Magazines"
"Parametric test engineering optimization: methodology and software system","T. T. d'Ouville; F. Mendez; J. Bruines; L. Zangara; G. Durieu","Centre Commun CNET SGS-Thomson, Crolles, France; Centre Commun CNET SGS-Thomson, Crolles, France; Centre Commun CNET SGS-Thomson, Crolles, France; NA; NA","Proceedings of International Conference on Microelectronic Test Structures","","1996","","","185","189","To improve drastically the productivity and the quality of parametric testing, we have defined a new design methodology based on a global and concurrent approach. A CAD system has been developed allowing the automatic generation of all the parametric test tools and the secured transfer of all information about the test chip to the parametric tester. This CAD solution has been progressively implemented in the Centre Commun CNET SGS-Thomson to design the test chips for CMOS 0.5 /spl mu/m, CMOS 0.35 /spl mu/m and BiCMOS technologies. Global indicators confirm the productivity and quality improvement of the parametric test design process.","","0-7803-2783","10.1109/ICMTS.1996.535643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=535643","","Software testing;Optimization methods;Automatic testing;System testing;Productivity;Design automation;Design methodology;BiCMOS integrated circuits;CMOS technology;Process design","CMOS integrated circuits;BiCMOS integrated circuits;integrated circuit testing;circuit CAD;circuit optimisation;integrated circuit design;automatic testing;automatic test software;graphical user interfaces;design for testability","parametric test engineering optimization;software system;design methodology;CAD system;automatic test tool generation;CMOS technologies;BiCMOS technology;PILOT Station;0.35 micron;0.5 micron","","","1","","","","","","IEEE","IEEE Conferences"
"Optimal allocation of testing resources for modular software systems","Chin-Yu Huang; Jung-Hua Lo; Sy-Yen Kuo; M. R. Lyu","Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan; NA","13th International Symposium on Software Reliability Engineering, 2002. Proceedings.","","2002","","","129","138","In this paper, based on software reliability growth models with generalized logistic testing-effort function, we study three optimal resource allocation problems in modular software systems during the testing phase: 1) minimization of the remaining faults when a fixed amount of testing-effort and a desired reliability objective are given; 2) minimization of the required amount of testing-effort when a specific number of remaining faults and a desired reliability objective are given; and 3) minimization of the cost when the number of remaining faults and a desired reliability objective are given. Several useful optimization algorithms based on the Lagrange multiplier method are proposed and numerical examples are illustrated. Our methodologies provide practical approaches to the optimization of testing-resource allocation with a reliability objective. In addition, we also introduce the testing-resource control problem and compare different resource allocation methods. Finally, we demonstrate how these analytical approaches can be employed in the integration testing. Using the proposed algorithms, project managers can allocate limited testing-resource easily and efficiently and thus achieve the highest reliability objective during software module and integration testing.","1071-9458","0-7695-1763","10.1109/ISSRE.2002.1173228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173228","","Resource management;Software testing;System testing;Software systems;Optimization methods;Software reliability;Logistics;Cost function;Lagrangian functions;Software algorithms","program testing;resource allocation;software reliability;minimisation","optimal testing resource allocation;modular software systems;software reliability growth models;generalized logistic testing;program testing;fault minimization;optimization algorithms;Lagrange multiplier method;testing-resource control problem;integration testing;software module testing","","7","","","","","","","IEEE","IEEE Conferences"
"System test case prioritization of new and regression test cases","H. Srikanth; L. Williams; J. Osborne","Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA; Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA; NA","2005 International Symposium on Empirical Software Engineering, 2005.","","2005","","","10 pp.","","Test case prioritization techniques have been shown to be beneficial for improving regression-testing activities. With prioritization, the rate of fault detection is improved, thus allowing testers to detect faults earlier in the system-testing phase. Most of the prioritization techniques to date have been code coverage-based. These techniques may treat all faults equally. We build upon prior test case prioritization research with two main goals: (1) to improve user-perceived software quality in a cost effective way by considering potential defect severity and (2) to improve the rate of detection of severe faults during system-level testing of new code and regression testing of existing code. We present a value-driven approach to system-level test case prioritization called the prioritization of requirements for test (PORT). PORT prioritizes system test cases based upon four factors: requirements volatility, customer priority, implementation complexity, and fault proneness of the requirements. We conducted a PORT case study on four projects developed by students in advanced graduate software testing class. Our results show that PORT prioritization at the system level improves the rate of detection of severe faults. Additionally, customer priority was shown to be one of the most important prioritization factors contributing to the improved rate of fault detection.","","0-7803-9507","10.1109/ISESE.2005.1541815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1541815","","System testing;Computer aided software engineering;Software testing;Fault detection;Software quality;Costs;Software engineering;Computer science;Statistical analysis;Phase detection","program testing;software quality;software fault tolerance;regression analysis","system-level test case prioritization;regression test case;fault detection;code coverage-based prioritization technique;software quality;software defect severity;value-driven approach;prioritization of requirements for test;PORT;requirements volatility;customer priority;implementation complexity;fault proneness;software testing","","46","32","","","","","","IEEE","IEEE Conferences"
"Tutorial: organizing, managing and optimizing software testing","H. Schaefer","Software Test Consulting, Valestrandsfossen, Norway","Proceedings of Joint 4th International Computer Science Conference and 4th Asia Pacific Software Engineering Conference","","1997","","","532","533","This tutorial introduces the philosophy of software testing as it is defined by the current literature. One goal is to give ideas and guidance for improving testing, i.e. to find more serious defects earlier and at a lower cost. The other goal is to improve control over the testing process.","","0-8186-8271","10.1109/APSEC.1997.640220","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=640220","","Tutorial;Organizing;Software testing;Costs;Materials testing;Delay estimation;Frequency estimation;Feedback;Prototypes;Thumb","program testing;software management","software testing;philosophy;serious defects;cost;testing process control","","","","","","","","","IEEE","IEEE Conferences"
"What's so different about deep-submicron test?","C. Hunter","Somerset Design Centre, Motorola Inc., Austin, TX, USA","Proceedings of 1995 IEEE International Test Conference (ITC)","","1995","","","924","","Functional verification of products is attetmpting to prove the absence of logical defects in a design, while test is attempting to prove the absence of physical defects in the same design. Both have many common needs; both are critical to the design and development of our products. Validating the state of a device or product has become all but impossible, without direct access to the internal state of the device. Scan based diagnostic techniques are now being used at the board, system and software debug and development stages of product development cycles; these are the same requirements that device test has always had. The implication is to enable the use of on-chip test structures and features for more than just the manufacturing process. As these on-chip features become more prevalent, their standardization and proliferation will be the norm rather than the exception. As such, advancements in diagnostics and built-in self verifying (and testing) devices and products, can and will become the dominant strategy optimizing time to market of our products, ultimately allowing our customers to becomes more successful.","1089-3539","0-7803-2992","10.1109/TEST.1995.529933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=529933","","Logic testing;Software debugging;Software systems;Product development;Software testing;System testing;Manufacturing processes;Standardization;Automatic testing;Time to market","integrated circuit testing;automatic testing;design for testability;logic testing;built-in self test;standardisation;production testing","deep-submicron test;functional verification;logical defects;physical defects;scan based diagnostic techniques;software debugging;product development;on-chip test structures;standardization;built-in self verifying;diagnostics;time to market","","","","","","","","","IEEE","IEEE Conferences"
"Test process optimization: closing the gap in the defect spectrum","N. Barrett; S. Martin; C. Dislis","Sector of Network Solution, Motorola Ireland Ltd., Cork, Ireland; NA; NA","International Test Conference 1999. Proceedings (IEEE Cat. No.99CH37034)","","1999","","","124","129","This paper describes our methodology of tuning the test process of the Motorola Operations and Maintenance Center product to systematically reduce field defects. The benefits include improved test cases, reduced defects and the availability of up to date field data for feature verification.","1089-3539","0-7803-5753","10.1109/TEST.1999.805621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=805621","","Software testing;GSM;Intelligent networks;System testing;Time to market;Feedback;Cellular networks;Land mobile radio cellular systems;Base stations;Graphical user interfaces","software fault tolerance;program testing;software maintenance","test process optimization;defect spectrum;Motorola product test process;reduced field defects;feature verification;defect coverage;GSM cellular products;systematic trend analysis;software testing tuning model;requirements-derived test;orthogonal defect classification;mapping process gaps","","4","9","","","","","","IEEE","IEEE Conferences"
"Scenario based integration testing for object-oriented software development","Youngchul Kim; C. R. Carlson","Dept. of Comput. Sci., Illinois Inst. of Technol., Chicago, IL, USA; NA","Proceedings Eighth Asian Test Symposium (ATS'99)","","1999","","","283","288","The adaptive use case methodology for software development proposed by Carlson and Hurlbutt [1997, 1998] forms the backdrop for this paper. Their methodology integrates the software design, development and testing processes through a series of design preserving, algorithmic transformations. This paper focuses on the software testing metrics used in the generation of object oriented test plans as part of that methodology. During the design phase, interaction diagrams are developed from which use case action matrices are then generated. A use case action matrix contains a collection of related scenarios each describing a specific variant of an executable sequence of use case actions. The proposed software testing metrics are employed to improve the productivity of the testing process through scenario prioritization.","1081-7735","0-7695-0315","10.1109/ATS.1999.810764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=810764","","Software testing;Programming;Algorithm design and analysis;Software algorithms;Electrical capacitance tomography;Software systems;Control systems;Computer science;Scholarships;Software design","object-oriented methods;software engineering;program testing","scenario based integration testing;object-oriented software development;adaptive use case methodology;design preserving algorithmic transformations;testing metrics;object oriented test plans;interaction diagrams;use case action matrices;executable sequence;productivity;scenario prioritization","","5","10","","","","","","IEEE","IEEE Conferences"
"Test case prioritization: an empirical study","G. Rothermel; R. H. Untch; Chengyun Chu; M. J. Harrold","Dept. of Comput. Sci., Oregon State Univ., Corvallis, OR, USA; NA; NA; NA","Proceedings IEEE International Conference on Software Maintenance - 1999 (ICSM'99). 'Software Maintenance for Business Change' (Cat. No.99CB36360)","","1999","","","179","188","Test case prioritization techniques schedule test cases for execution in an order that attempts to maximize some objective function. A variety of objective functions are applicable; one such function involves rate of fault detection-a measure of how quickly faults are detected within the testing process. An improved rate of fault detection during regression testing can provide faster feedback on a system under regression test and let debuggers begin their work earlier than might otherwise be possible. In this paper we describe several techniques for prioritizing test cases and report our empirical results measuring the effectiveness of these techniques for improving rate of fault detection. The results provide insights into the tradeoffs among various techniques for test case prioritization.","1063-6773","0-7695-0016","10.1109/ICSM.1999.792604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=792604","","Computer aided software engineering;Fault detection;System testing;Software testing;Computer science;Job shop scheduling;Feedback;Software maintenance;Information science;Ear","program testing","test cases;test case prioritization;objective function;regression test;debuggers;fault detection","","109","21","","","","","","IEEE","IEEE Conferences"
