"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"The research of the test case prioritization algorithm for black box testing","W. Liu; X. Wu; W. Zhang; Y. Xu","Beijing Institute of Tracking and Telecommunications Technology, Beijing, China; Beijing Institute of Tracking and Telecommunications Technology, Beijing, China; Beijing Institute of Tracking and Telecommunications Technology, Beijing, China; Beijing Institute of Tracking and Telecommunications Technology, Beijing, China","2014 IEEE 5th International Conference on Software Engineering and Service Science","","2014","","","37","40","In order to improve the efficiency of software test case execution, this paper analyzed the impact of some factors to test cases prioritization and presented two adjustment algorithms. These factors included software requirement prioritization, software failure severity and software failure probability level. Firstly, gave the definition of software requirement prioritization, the ranking methods of software failure severity and software failure probability level, the description of the relationship between test cases and test requirements. Then, presented an initial test case prioritization method based on the analysis. And then, proposed a dynamic adjustment algorithm using of software requirement prioritization and software failure probability level when software failure occurred. Experimental data show that the two test case prioritization algorithms can improve the efficiency of software testing and are helpful to find more software defects in a short period.","2327-0594;2327-0586","978-1-4799-3279-5978-1-4799-3278-8978-1-4799-3277","10.1109/ICSESS.2014.6933509","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6933509","software testing;test case;test case prioritization","Heuristic algorithms;Software algorithms;Algorithm design and analysis;Software systems;Software testing","program testing;software reliability","test case prioritization algorithm;black box testing;software test case execution;dynamic adjustment algorithm;software failure severity;software failure probability level;software requirement prioritization;test requirements;software testing;software defects","","","8","","","","","","IEEE","IEEE Conferences"
"History-Based Test Case Prioritization for Black Box Testing Using Ant Colony Optimization","T. Noguchi; H. Washizaki; Y. Fukazawa; A. Sato; K. Ota","NA; NA; NA; NA; NA","2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)","","2015","","","1","2","Test case prioritization is a technique to improve software testing. Although a lot of work has investigated test case prioritization, they focus on white box testing or regression testing. However, software testing is often outsourced to a software testing company, in which testers are rarely able to access to source code due to a contract. Herein a framework is proposed to prioritize test cases for black box testing on a new product using the test execution history collected from a similar prior product and the Ant Colony Optimization. A simulation using two actual products shows the effectiveness and practicality of our proposed framework.","2159-4848","978-1-4799-7125","10.1109/ICST.2015.7102622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7102622","","Software testing;Software;Ant colony optimization;Companies;History;Fault detection","ant colony optimisation;program testing;regression analysis;source code (software);statistical testing","history-based test case prioritization;black box testing;ant colony optimization;white box testing;regression testing;software testing company;source code;test execution history","","1","6","","","","","","IEEE","IEEE Conferences"
"Prioritization of test scenarios using hybrid genetic algorithm based on UML activity diagram","X. Wang; X. Jiang; H. Shi","College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China","2015 6th IEEE International Conference on Software Engineering and Service Science (ICSESS)","","2015","","","854","857","Software testing is an essential part of the SDLC(Software Development Life Cycle). Test scenarios are used to derive test cases for model based testing. However, with the software rapidly growing in size and complexity, the cost of software will be too high if we want to test all the test cases. So this paper presents an approach using Hybrid Genetic Algorithm(HGA) to prioritize test scenarios, which improves efficiency and reduces cost as well. The algorithm combines Genetic Algorithm(GA) with Particle Swarm Optimization(PSO) algorithm and uses Local Search Strategy to update the local and global best information of the PSO. The proposed algorithm can prioritize test scenarios so as to find a critical scenario. Finally, the proposed method is applied to several typical UML activity diagrams, and compared with the Simple Genetic Algorithm(SGA). The experimental results show that the proposed method not only prioritizes test scenarios, but also improves the efficiency, and further saves effort, time as well as cost.","2327-0594;2327-0586","978-1-4799-8353-7978-1-4799-8352-0978-1-4799-8351","10.1109/ICSESS.2015.7339189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7339189","Software testing;Test scenarios prioritization;Hybrid Genetic Algorithm;UML Activity Diagram","Unified modeling language;Genetic algorithms;Testing;Software;Sociology;Statistics;Biological cells","genetic algorithms;particle swarm optimisation;program testing;search problems;software cost estimation;Unified Modeling Language","test scenarios prioritization;hybrid genetic algorithm;UML activity diagram;software testing;SDLC;software development life cycle;test cases;model based testing;software cost;HGA;particle swarm optimization;PSO algorithm;local search strategy;local best information;global best information;simple genetic algorithm;SGA","","2","8","","","","","","IEEE","IEEE Conferences"
"Optimization of test suite-test case in regression test","A. S. A. Ansari; K. K. Devadkar; P. Gharpure","Department of Computer Engineering, Sardar Patel Institute of Technology, University Of Mumbai, Mumbai, India; Department of Information Technology, Sardar Patel Institute of Technology, University Of Mumbai, Mumbai, India; Department of Computer Engineering, Sardar Patel Institute of Technology, University Of Mumbai, Mumbai, India","2013 IEEE International Conference on Computational Intelligence and Computing Research","","2013","","","1","4","Exhaustive product evolution and testing is required to ensure the quality of product. Regression testing is crucial to ensure software excellence. Regression test cases are applied to assure that new or adapted features do not relapse the existing features. As innovative features are included, new test cases are generated to assess the new functionality, and then included in the existing pool of test cases, thus escalating the cost and the time required in performing regression test and this unswervingly impacts the release, laid plan and the quality of the product. Hence there is a need to select minimal test cases that will test all the functionalities of the engineered product and it must rigorously test the functionalities that have high risk exposure. Test Suite-Test Case Refinement Technique will reduce regression test case pool size, reduce regression testing time, cost &amp; effort and also ensure the quality of the engineered product. This technique is a regression test case optimization technique that is a hybrid of Test Case Minimization based on specifications and Test Case Prioritization based on risk exposure. This approach will facilitate achievement of quality product with decreased regression testing time and cost yet uncover same amount of errors as the original test cases.","","978-1-4799-1597-2978-1-4799-1594-1978-1-4799-1595","10.1109/ICCIC.2013.6724206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6724206","Test Case Optimization;Regression Test;Test Suite Prioritization;Test Suite Minimization;Risk Based Prioritization;Specification Based Selection","Minimization;Testing;Software;Conferences;Fault detection;Optimization;Software reliability","program testing;software quality","test suite-test case optimization;regression test;product quality;software excellence;test suite-test case refinement technique;test case minimization;test case prioritization;risk exposure","","1","10","","","","","","IEEE","IEEE Conferences"
"Research on optimization scheme of regression testing","S. Sun; X. Hou; C. Gao; L. Sun","School of Computer Science &amp; Engineering, Changchun University of Technology, Changchun, China; School of Computer Science &amp; Engineering, Changchun University of Technology, Changchun, China; School of Computer Science &amp; Engineering, Changchun University of Technology, Changchun, China; School of Computer Science &amp; Engineering, Changchun University of Technology, Changchun, China","2013 Ninth International Conference on Natural Computation (ICNC)","","2013","","","1628","1632","Regression testing is an important process during software development. In order to reduce costs of regression testing, research on optimization of scheme of regression testing have been done in this paper. For the purpose of reducing the number of test cases and detecting faults of programs early, this paper proposed to combine test case selection with test case prioritization. Regression testing process has been designed and optimization of testing scheme has been implemented. The criterion of test case selection is modify impact of programs, finding programs which are impacted by program modification according to modify information of programs and dependencies between programs. Test cases would be selected during test case selection. The criterion of test case prioritization is coverage ability and troubleshooting capabilities of test case. Test cases which have been selected during test case selection would be ordering in test case prioritization. Finally, the effectiveness of the new method is discussed.","2157-9563;2157-9555","978-1-4673-4714","10.1109/ICNC.2013.6818242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6818242","regression testing;test case selection;test case prioritization","Testing;Software;Optimization;Circuit faults;Convergence;Educational institutions;Computer aided software engineering","cost reduction;optimisation;program testing;regression analysis;software cost estimation;software fault tolerance;software maintenance;statistical testing","software development;regression testing;program fault detection;test case prioritization;testing scheme optimization;test case selection criterion;program modification;troubleshooting capability;coverage ability;software cost reduction;software maintenance","","1","8","","","","","","IEEE","IEEE Conferences"
"Development test case prioritization technique in regression testing based on hybrid criteria","M. R. Nejad Dobuneh; D. N. A. Jawawi; M. Ghazali; M. V. Malakooti","Department of Software Engineering, Faculty of Computing, Universiti Teknologi Malaysia (UTM), Skudai 81310, Johor, Malaysia; Department of Software Engineering, Faculty of Computing, Universiti Teknologi Malaysia (UTM), Skudai 81310, Johor, Malaysia; Department of Software Engineering, Faculty of Computing, Universiti Teknologi Malaysia (UTM), Skudai 81310, Johor, Malaysia; Department of Computer Engineering, Islamic Azad, University UAE Branch, UAE","2014 8th. Malaysian Software Engineering Conference (MySEC)","","2014","","","301","305","Test case prioritization techniques improve the performance of regression testing, and arrange test cases in order to obtain maximum available fault that is going to be detected in a shorter time. In this research the priority is given to test cases that are performed based on multiple criteria and hybrid criteria to enhance the effectiveness of time and cost for proposed technique. This paper shows that our prioritization technique is appropriate for regression testing environment and show that our prioritization approach frequently produces a higher average percentage of fault detection rate value, for web application. The experiments also reveal fundamental tradeoffs in the performance of time aware prioritization. In this technique some fault will be seeded in subject application, then applying the prioritization criteria on test cases to obtain the effective time of average percentage fault detection rate.","","978-1-4799-5439","10.1109/MySec.2014.6986033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986033","web application;regression testing;prioritization criteria","Fault detection;Software;Software engineering;Schedules;Organizations;Software testing","Internet;program testing;regression analysis;software fault tolerance","development test case prioritization technique;hybrid criteria;regression testing performance;test case arrangement;maximum available fault;regression testing environment;Web application;time aware prioritization;prioritization criteria;fault detection","","1","11","","","","","","IEEE","IEEE Conferences"
"Parallelized ACO algorithm for regression testing prioritization in hadoop framework","N. Elanthiraiyan; C. Arumugam","Department of Computer Science and Engineering, SSN College of Engineering, Chennai, India; Department of Computer Science and Engineering, SSN College of Engineering, Chennai, India","2014 IEEE International Conference on Advanced Communications, Control and Computing Technologies","","2014","","","1568","1571","Regression testing is an important strategy in the software maintenance phase to produce a high quality software product. This testing ensures that the modified system code does not have an effect on the original software system. Initially, the test suite is generated for the existing software system. After the system undergoes changes the test suite contains both the original test cases and the modified test cases. Regression test prioritization method helps to separate the optimal test cases from the modified test suite. In the existing work, the multi-criteria optimization was applied for generating optimal regression test cases and it was carried out in a non-parallelized environment. The proposed solution is to extend the existing work by generating an optimized test suite using Ant Colony Optimization (ACO) technique on Hadoop Map reduce framework in a parallelized environment.","","978-1-4799-3914-5978-1-4799-3913","10.1109/ICACCCT.2014.7019371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7019371","Regression Testing;Hadoop Mapreduce;parallelization;Ant Colony Optimization;Prioritization","Software;Optimization;TV;Computer aided software engineering","optimisation;parallel processing;program testing;regression analysis;software maintenance;software quality","parallelized ACO algorithm;software maintenance phase;high quality software product;modified system code;test suite;regression test prioritization method;multicriteria optimization;optimal regression test cases;nonparallelized environment;optimized test suite;ant colony optimization technique;ACO;Hadoop Mapreduce framework;parallelized environment","","1","13","","","","","","IEEE","IEEE Conferences"
"Test Case Prioritization for Continuous Regression Testing: An Industrial Case Study","D. Marijan; A. Gotlieb; S. Sen","NA; NA; NA","2013 IEEE International Conference on Software Maintenance","","2013","","","540","543","Regression testing in continuous integration environment is bounded by tight time constraints. To satisfy time constraints and achieve testing goals, test cases must be efficiently ordered in execution. Prioritization techniques are commonly used to order test cases to reflect their importance according to one or more criteria. Reduced time to test or high fault detection rate are such important criteria. In this paper, we present a case study of a test prioritization approach ROCKET (Prioritization for Continuous Regression Testing) to improve the efficiency of continuous regression testing of industrial video conferencing software. ROCKET orders test cases based on historical failure data, test execution time and domain-specific heuristics. It uses a weighted function to compute test priority. The weights are higher if tests uncover regression faults in recent iterations of software testing and reduce time to detection of faults. The results of the study show that the test cases prioritized using ROCKET (1) provide faster fault detection, and (2) increase regression fault detection rate, revealing 30% more faults for 20% of the test suite executed, comparing to manually prioritized test cases.","1063-6773","978-0-7695-4981","10.1109/ICSM.2013.91","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676952","software testing;continuous integration;regression testing;test case prioritization;history-based prioritization","Testing;Rockets;Fault detection;Software;Manuals;Time factors;Linear programming","fault diagnosis;program testing;regression analysis;software reliability;statistical testing;teleconferencing","test case prioritization technique;industrial case study;continuous integration environment;time constraints;high fault detection rate;prioritization for continuous regression testing;ROCKET;industrial video conferencing software;historical failure data;test execution time;domain-specific heuristics;weighted function;test priority;regression faults;software testing;fault detection rate","","20","9","","","","","","IEEE","IEEE Conferences"
"History-Based Test Case Prioritization with Software Version Awareness","C. Lin; C. Chen; C. Tsai; G. M. Kapfhammer","NA; NA; NA; NA","2013 18th International Conference on Engineering of Complex Computer Systems","","2013","","","171","172","Test case prioritization techniques schedule the test cases in an order based on some specific criteria so that the tests with better fault detection capability are executed at an early position in the regression test suite. Many existing test case prioritization approaches are code-based, in which the testing of each software version is considered as an independent process. Actually, the test results of the preceding software versions may be useful for scheduling the test cases of the later software versions. Some researchers have proposed history-based approaches to address this issue, but they assumed that the immediately preceding test result provides the same reference value for prioritizing the test cases of the successive software version across the entire lifetime of the software development process. Thus, this paper describes ongoing research that studies whether the reference value of the immediately preceding test results is version-aware and proposes a test case prioritization approach based on our observations. The experimental results indicate that, in comparison to existing approaches, the presented one can schedule test cases more effectively.","","978-0-7695-5007-7978-0-7695-5007","10.1109/ICECCS.2013.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6601820","Regression Testing;Test Case Prioritization","Software;Testing;Fault detection;Schedules;Software engineering;Computers;Educational institutions","fault diagnosis;program testing;regression analysis;scheduling;software reliability","history-based test case prioritization techniques;software version awareness;fault detection;regression test suite;software version testing;scheduling;software development process","","3","7","","","","","","IEEE","IEEE Conferences"
"Applying Ant Colony Optimization in software testing to generate prioritized optimal path and test data","S. Biswas; M. S. Kaiser; S. A. Mamun","Institute of Information Technology, Jahangirnagar University, Dhaka, Bangladesh; Institute of Information Technology, Jahangirnagar University, Dhaka, Bangladesh; Institute of Information Technology, Jahangirnagar University, Dhaka, Bangladesh","2015 International Conference on Electrical Engineering and Information Communication Technology (ICEEICT)","","2015","","","1","6","Software testing is one of the most important parts of software development lifecycle. Among various types of software testing approaches structural testing is widely used. Structural testing can be improved largely by traversing all possible code paths of the software. Genetic algorithm is the most used search technique to automate path testing and test case generation. Recently, different novel search based optimization techniques such as Ant Colony Optimization (ACO), Artificial Bee Colony (ABC), Artificial Immune System (AIS), Particle Swarm Optimization (PSO) have been applied to generate optimal path to complete software coverage. In this paper, ant colony optimization (ACO) based algorithm has been proposed which will generate set of optimal paths and prioritize the paths. Additionally, the approach generates test data sequence within the domain to use as inputs of the generated paths. Proposed approach guarantees full software coverage with minimum redundancy. This paper also demonstrates the proposed approach applying it in a program module.","","978-1-4673-6676-2978-1-4673-6675","10.1109/ICEEICT.2015.7307500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7307500","Software testing;Ant Colony Optimization (ACO);Path testing;Test data generation;Control Flow Graph (CFG)","Testing","ant colony optimisation;artificial immune systems;program testing;software engineering","ant colony optimization;software testing;prioritized optimal path;test data;software development lifecycle;structural testing;genetic algorithm;path testing;test case generation;novel search based optimization techniques;ACO;artificial bee colony;ABC;artificial immune system;AIS;particle swarm optimization;PSO","","4","28","","","","","","IEEE","IEEE Conferences"
